Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,Orange,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_3_0.png,Brown,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_5_0.png,Red,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_6_0.png,Pink,NA,NA,NA,No,No,No,NA,5100,1275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,concert,None,None,None,No,Musical Instrument,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_1_0.png,Yellow,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_2_0.png,Green,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_3_0.png,Blue,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_4_0.png,Pink,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_5_0.png,Ivory,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_6_0.png,Light blue,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_7_0.png,Black,NA,NA,NA,No,No,No,NA,1100,275,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,kitchen,shop,None,None,Yes,Kitchen Things,Does not play music,No lighting,For sale
anchovy model,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,600,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
angelfish model,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfishToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,9000,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
ant farm,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriFarm.png,NA,NA,NA,NA,No,No,No,NA,1400,350,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,child's room,None,None,No,Special Insect,Does not play music,No lighting,For sale
ant model,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,240,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,990,247,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_1_0.png,Brown,NA,NA,NA,No,No,No,NA,990,247,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_2_0.png,Light blue,NA,NA,NA,No,No,No,NA,990,247,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_3_0.png,Pink,NA,NA,NA,No,No,No,NA,990,247,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale
anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_4_0.png,Black,NA,NA,NA,No,No,No,NA,990,247,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,living room,None,None,None,No,Plants,Does not play music,No lighting,For sale
arapaima model,https://acnhcdn.com/latest/FtrIcon/FtrFishPirarukuToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000,2x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_0_0.png,White,Variation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_1_0.png,Brown,Variation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_2_0.png,Green,Variation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_3_0.png,Pink,Variation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_4_0.png,Cream,Variation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale
aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_5_0.png,Black,Variation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,living room,None,None,None,Yes,Beauty,Does not play music,No lighting,Not for sale
arowana model,https://acnhcdn.com/latest/FtrIcon/FtrFishArowanaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,30000,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_0.png,Cream,NA,None,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_1.png,Cream,NA,Heart,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_2.png,Cream,NA,Fish,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_3.png,Cream,NA,Star,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_0.png,Caramel mocha,NA,None,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_1.png,Caramel mocha,NA,Heart,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_2.png,Caramel mocha,NA,Fish,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_3.png,Caramel mocha,NA,Star,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_0.png,Choco,NA,None,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_1.png,Choco,NA,Heart,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_2.png,Choco,NA,Fish,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_3.png,Choco,NA,Star,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_0.png,Floral,NA,None,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_1.png,Floral,NA,Heart,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_2.png,Floral,NA,Fish,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_3.png,Floral,NA,Star,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_0.png,Checkered,NA,None,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_1.png,Checkered,NA,Heart,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_2.png,Checkered,NA,Fish,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_3.png,Checkered,NA,Star,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_0.png,Tweed,NA,None,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_1.png,Tweed,NA,Heart,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_2.png,Tweed,NA,Fish,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_3.png,Tweed,NA,Star,Shirt,No,No,Yes,1,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,bear,No,Animal,Does not play music,No lighting,For sale
Baby panda,https://acnhcdn.com/latest/FtrIcon/FtrPandaS.png,NA,NA,NA,NA,No,No,No,NA,1800,450,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fancy,child's room,None,panda,No,Animal,Does not play music,No lighting,For sale
bagworm model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMinomushiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,1800,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale
ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_0_0.png,Basketball,NA,NA,NA,No,No,No,NA,520,130,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale
ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_1_0.png,Soccer ball,NA,NA,NA,No,No,No,NA,520,130,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale
ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_2_0.png,Volleyball,NA,NA,NA,No,No,No,NA,520,130,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale
ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_3_0.png,Dodgeball,NA,NA,NA,No,No,No,NA,520,130,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,fitness,school,None,None,Yes,Sports,Does not play music,No lighting,For sale
bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Candle,Not for sale
bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Candle,Not for sale
bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,2,NFS,880,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Candle,Not for sale
bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale
bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale
bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,720,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale
bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,1x1,Crafting,,zen-style,None,bamboo,None,No,Dining,Does not play music,No lighting,Not for sale
bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,1x1,Crafting,,zen-style,None,bamboo,None,No,Dining,Does not play music,No lighting,Not for sale
bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,640,1x1,Crafting,,zen-style,None,bamboo,None,No,Dining,Does not play music,No lighting,Not for sale
bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,1x1,Crafting,,zen-style,None,bamboo,None,No,Toy,Does not play music,No lighting,Not for sale
bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,1x1,Crafting,,zen-style,None,bamboo,None,No,Toy,Does not play music,No lighting,Not for sale
bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,480,1x1,Crafting,,zen-style,None,bamboo,None,No,Toy,Does not play music,No lighting,Not for sale
bamboo-shoot lamp,https://acnhcdn.com/latest/FtrIcon/FtrBambooshootLamp.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4900,1x1,Crafting,,zen-style,None,bamboo,None,Yes,Lamp,Does not play music,Fluorescent,Not for sale
barred knifejaw model,https://acnhcdn.com/latest/FtrIcon/FtrFishIshidaiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,15000,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
barreleye model,https://acnhcdn.com/latest/FtrIcon/FtrFishDemenigisuToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,45000,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_0_0.png,Colorful,NA,NA,NA,No,No,No,NA,430,107,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale
beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_1_0.png,Blue,NA,NA,NA,No,No,No,NA,430,107,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale
beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_2_0.png,Red,NA,NA,NA,No,No,No,NA,430,107,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale
beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_3_0.png,Watermelon,NA,NA,NA,No,No,No,NA,430,107,1x1,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",ocean,None,None,None,Yes,Seaside,Does not play music,No lighting,For sale
bell cricket model,https://acnhcdn.com/latest/FtrIcon/FtrInsectSuzumushiToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,1290,1x1,Flick,Trade 3 insects to receive a model in the mail the next day,None,None,None,None,No,Insect,Does not play music,No lighting,Not for sale
betta model,https://acnhcdn.com/latest/FtrIcon/FtrFishBetaToy.png,NA,NA,NA,NA,No,No,No,NA,NFS,7500,1x1,C.J.,Trade 3 fish to receive a model in the mail the next day,None,None,None,None,No,Fish,Does not play music,No lighting,Not for sale
bingo wheel,https://acnhcdn.com/latest/FtrIcon/FtrBingo.png,NA,NA,NA,NA,No,No,No,NA,1000,250,1x1,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,party,None,None,None,Yes,Toy,Does not play music,No lighting,For sale
birthday cake,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_0_0.png,Whipped-cream topping,Variation,NA,NA,No,Yes,No,1,NFS,100,1x1,Birthday,,party,fancy,None,birthday,Yes,Seasonal Decor,Does not play music,Candle,Not for sale
birthday cake,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_1_0.png,Chocolate buttercream,Variation,NA,NA,No,Yes,No,1,NFS,100,1x1,Birthday,,party,fancy,None,birthday,Yes,Seasonal Decor,Does not play music,Candle,Not for sale
birthday cake,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_2_0.png,Strawberry buttercream,Variation,NA,NA,No,Yes,No,1,NFS,100,1x1,Birthday,,party,fancy,None,birthday,Yes,Seasonal Decor,Does not play music,Candle,Not for sale
birthday candles,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCandle_Remake_0_0.png,Colorful,Variation,NA,NA,No,Yes,No,1,NFS,300,1x1,Birthday,,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale
birthday candles,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCandle_Remake_1_0.png,Pink,Variation,NA,NA,No,Yes,No,1,NFS,300,1x1,Birthday,,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale
birthday candles,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCandle_Remake_2_0.png,Blue,Variation,NA,NA,No,Yes,No,1,NFS,300,1x1,Birthday,,party,fancy,None,birthday,Yes,Lamp,Does not play music,Candle,Not for sale
